,id,Company,TypeName,Ram,Weight,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,Price,CalculatedPrice
0,1234,HP,Notebook,4,2.1,0,0,141.21199808219862,Intel Core i3,1000.0,0,0.0,Windows,,132.4757345323501
1,691,Lenovo,Notebook,4,1.7,0,0,157.3505121487356,Intel Core i5,0.0,256,0.0,Windows,,146.53857462311697
2,894,MSI,Gaming,16,2.43,0,1,254.67134914246225,Intel Core i7,2000.0,512,0.5,Windows,,231.63209573968106
3,766,Asus,Notebook,4,2.8,0,0,90.58340172449304,Other Intel Processor,1000.0,0,0.5,Windows,,88.5982729708076
4,739,Acer,Notebook,4,2.4,0,0,100.45466986113652,Intel Core i3,500.0,0,0.0,Windows,,97.22318907044264
5,342,HP,Notebook,8,2.1,0,1,141.21199808219862,Intel Core i3,1000.0,0,0.5,Windows,,132.79469719400672
6,236,Acer,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i3,1000.0,0,0.0,Others,,97.1889693649955
7,460,Acer,Notebook,4,2.23,0,0,141.21199808219862,Intel Core i3,1000.0,0,0.5,Windows,,132.4439216210925
8,401,Asus,Gaming,16,2.9,0,0,127.33567457123112,Intel Core i7,1000.0,256,0.5,Windows,,121.45907804858075
9,981,Toshiba,Notebook,4,1.2,0,0,165.6321180513006,Intel Core i5,0.0,128,0.0,Windows,,153.7196217707679
10,702,Lenovo,Notebook,8,2.2,0,0,100.45466986113652,AMD Processor,1000.0,0,1.0,Windows,,97.47678041420131
11,568,Lenovo,Notebook,4,2.2,0,0,141.21199808219862,Other Intel Processor,500.0,0,0.0,Windows,,132.51436289650917
12,64,HP,Notebook,8,1.86,0,0,141.21199808219862,Intel Core i5,0.0,256,0.0,Windows,,132.91060025458592
13,43,Acer,Notebook,4,2.2,0,1,141.21199808219862,Intel Core i5,0.0,256,0.0,Windows,,132.55519559002417
14,1093,Dell,Ultrabook,4,1.4,0,1,165.6321180513006,Intel Core i5,0.0,256,1.0,Windows,,153.65731854586627
15,522,Dell,Notebook,8,2.0028571428571427,0,0,400.0,Intel Core i5,0.0,256,0.0,Windows,,356.9602007518925
16,1154,Dell,Notebook,8,2.04,1,1,282.42399616439724,Intel Core i5,0.0,256,0.5,Windows,,255.13581230888897
17,473,Dell,Ultrabook,8,1.42,1,0,165.6321180513006,Intel Core i5,0.0,256,0.0,Windows,,154.06268219093627
18,626,Mediacom,Notebook,2,1.4,0,0,157.3505121487356,Other Intel Processor,0.0,0,0.0,Windows,,146.37123263880912
19,1040,Lenovo,2 in 1 Convertible,4,1.8,1,1,141.21199808219862,Intel Core i7,0.0,256,0.0,Windows,,132.56401290744802
20,1035,HP,Ultrabook,8,1.26,0,0,176.23257360658386,Intel Core i7,0.0,256,0.0,Windows,,163.24384175902085
21,193,Lenovo,Notebook,8,2.8,0,0,106.11306214269258,Intel Core i5,0.0,256,0.5,Others,,102.47307408710422
22,228,Asus,Notebook,8,2.69,0,0,127.33567457123112,Intel Core i5,500.0,256,0.5,Windows,,120.80871994424034
23,828,Acer,Netbook,4,1.35,0,1,135.0942111925629,Other Intel Processor,0.0,0,0.0,Others,,127.27729203698284
24,329,Dell,Notebook,32,2.06,1,0,282.42399616439724,Intel Core i7,0.0,1000,0.5,Windows,,257.2228311115267
25,1063,Dell,Notebook,16,2.32,0,0,141.21199808219862,Intel Core i7,2000.0,0,1.0,Windows,,133.37505488880169
26,390,Asus,Gaming,8,3.0,0,0,127.33567457123112,Intel Core i7,1000.0,0,0.5,Windows,,120.76105382972183
27,338,Asus,Notebook,4,2.0,0,0,100.45466986113652,Other Intel Processor,1000.0,0,0.0,Others,,97.19117369435146
28,195,HP,Notebook,8,2.5,0,1,127.33567457123112,Intel Core i5,1000.0,0,0.5,Windows,,120.77207547650163
29,1137,Dell,Notebook,8,2.5,0,0,100.45466986113652,Intel Core i5,1000.0,0,1.0,Windows,,97.47016742613343
30,361,Asus,Notebook,8,2.0,0,0,157.3505121487356,Intel Core i5,0.0,256,0.0,Windows,,146.87987157980058
31,182,Lenovo,2 in 1 Convertible,16,1.4,1,1,316.96506044349616,Intel Core i7,0.0,512,0.0,Windows,,285.7795528183442
32,1021,Toshiba,Ultrabook,8,1.2,0,0,165.6321180513006,Intel Core i5,0.0,256,0.0,Windows,,154.0675317155194
33,126,HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i5,1000.0,0,0.0,Windows,,146.80636221138758
34,918,Dell,Gaming,16,2.6,0,0,141.21199808219862,Intel Core i7,1000.0,128,0.5,Windows,,133.47949543672988
35,1271,Lenovo,Notebook,2,1.5,0,0,111.93520355955212,Other Intel Processor,0.0,0,0.0,Windows,,107.04948998011517
36,50,Lenovo,2 in 1 Convertible,4,0.69,1,1,224.1738090785728,Other Intel Processor,0.0,0,0.0,Others,,204.4149247039048
37,237,Asus,Notebook,4,2.2,0,0,141.21199808219862,AMD Processor,1000.0,128,1.0,Windows,,132.41563563680444
38,1171,HP,Notebook,16,2.1,0,0,141.21199808219862,Intel Core i7,0.0,512,0.0,Windows,,133.60112975363458
39,667,HP,Notebook,8,2.1,0,0,141.21199808219862,Intel Core i7,1000.0,0,1.0,Windows,,132.76574991091186
